,column_id,display_name,description
27,ventrate,Ventricular rate,Data derived from standard resting 12-lead electrocardiogram (ECG) with the participant supine. Records were interpreted and Minnesota (MN) codes were provided by clinical cardiologists.
28,qrs,QRS Axis,Data derived from standard resting 12-lead electrocardiogram (ECG) with the participant supine. Records were interpreted and Minnesota (MN) codes were provided by clinical cardiologists.
29,afib,Atrial Fibrillation or Flutter,Minnesota (MN) code 8-3-1 or 8-3-2. Data derived from standard resting 12-lead electrocardiogram (ECG) with the participant supine. Records were interpreted and Minnesota (MN) codes were provided by clinical cardiologists.
30,paced,Paced rate,Minnesota (MN) code 6-8. Data derived from standard resting 12-lead electrocardiogram (ECG) with the participant supine. Records were interpreted and Minnesota (MN) codes were provided by clinical cardiologists.
31,nodal,Nodal rhythm,Abnormal heart rhythm resulting from impulses from the atrioventricular node. Minnesota (MN) code 8-4-1. Data derived from standard resting 12-lead electrocardiogram (ECG) with the participant supine. Records were interpreted and Minnesota (MN) codes were provided by clinical cardiologists.
32,apbs,Atrial bypasses,Minnesota (MN) code 8-1-1. Data derived from standard resting 12-lead electrocardiogram (ECG) with the participant supine. Records were interpreted and Minnesota (MN) codes were provided by clinical cardiologists.
33,vpbs,Ventricular bypasses,Minnesota (MN) code 8-1-2. Data derived from standard resting 12-lead electrocardiogram (ECG) with the participant supine. Records were interpreted and Minnesota (MN) codes were provided by clinical cardiologists.
34,truposmi,True posterior myocardial infarction (MI),Data derived from standard resting 12-lead electrocardiogram (ECG) with the participant supine. Records were interpreted and Minnesota (MN) codes were provided by clinical cardiologists.
35,stdydtqa,Polysomnogram (PSG) Quality Assessment (Sleep Heart Health Study Visit One (SHHS1)): Date of Study,
36,waso,Wake after Sleep Onset: the total duration between sleep onset and sleep offset time while being awake from type II polysomnography,Total amount of time spent awake after going to sleep
37,timest1p,Percentage of total sleep duration in stage 1 from type II polysomnography,
38,timest2p,Percentage of total sleep duration in stage 2 from type II polysomnography,
39,times34p,Percentage of total sleep duration in stage 3 and 4 from type II polysomnography,
40,timeremp,Percentage of total sleep duration in REM from type II polysomnography,"The ratio of time in rapid eye movement sleep (REM) to total sleep time, expressed as a percentage."
41,timest1,Total duration of stage 1 sleep from type II polysomnography,Total time scored as stage 1 rounded to nearest minute
42,timest2,Total duration of stage 2 sleep from type II polysomnography,Total time scored as stage 2 rounded to nearest minute
43,timest34,Total duration of stage 3 and 4 sleep from type II polysomnography,Total time scored as stage 3/4 rounded to nearest minute
44,timerem,Total duration of REM sleep from type II polysomnography,Total time scored as rapid eye movement sleep (REM) rounded to nearest minute
45,supinep,Percentage of total sleep duration in supine position from type II polysomnography,
46,nsupinep,Percentage of total sleep duration in non-supine position from type II polysomnography,Percent of sleep time in non-supine body position
47,ai_all,Arousal Index: Arousals per hour of sleep from type II polysomnography,Total number of arousals per hour of sleep.  Ratio of count of arousals to total sleep time in hours.
48,ai_nrem,Arousal Index (NREM): Arousals per hour of NREM sleep from type II polysomnography,
49,ai_rem,Arousal Index (REM): Arousals per hour of REM sleep from type II polysomnography,
50,rdi0p,Apnea-Hypopnea Index: Apneas with no oxygen desaturation threshold used and with or without arousal+ hypopneas with > 30% flow reduction and with no oxygen desaturation used and with or without arousal / hour of sleep from type II polysomnography,Calculated - Summary metric of sleep disordered breathing events
51,rdi2p,Apnea-Hypopnea Index: Apneas with >=2% oxygen desaturation and with or without arousal+ hypopneas with > 30% flow reduction and >=2% oxygen desaturation and with or without arousal / hour of sleep from type II polysomnography,Calculated - Summary metric of sleep disordered breathing events
52,rdi3p,Apnea-Hypopnea Index: Apneas with >=3% oxygen desaturation and with or without arousal+ hypopneas with > 30% flow reduction and >=3% oxygen desaturation and with or without arousal / hour of sleep from type II polysomnography,Calculated - Summary metric of sleep disordered breathing events
53,rdi4p,Apnea-Hypopnea Index: Apneas with >=4% oxygen desaturation and with or without arousal+ hypopneas with > 30% flow reduction and >=4% oxygen desaturation and with or without arousal / hour of sleep from type II polysomnography,Ratio of the count of all apneas (central and obstructive) and hypopneas associated with at least a >=4% oxygen desaturation to the total sleep time
54,rdi5p,Apnea-Hypopnea Index: Apneas with >=5% oxygen desaturation and with or without arousal+ hypopneas with > 30% flow reduction and >=5% oxygen desaturation and with or without arousal / hour of sleep from type II polysomnography,Calculated - Summary metric of sleep disordered breathing events
55,rdi0pa,Apnea-Hypopnea Index: Apneas with no oxygen desaturation threshold used and only with arousal+ hypopneas with > 30% flow reduction and with no oxygen desaturation used and only with arousal / hour of sleep from type II polysomnography,Calculated - Summary metric of sleep disordered breathing events
56,rdi2pa,Apnea-Hypopnea Index: Apneas with >=2% oxygen desaturation or with arousal+ hypopneas with > 30% flow reduction and >=2% oxygen desaturation or with arousal / hour of sleep from type II polysomnography,Calculated - Summary metric of sleep disordered breathing events
57,rdi3pa,Apnea-Hypopnea Index: Apneas with >=3% oxygen desaturation or with arousal+ hypopneas with > 30% flow reduction and >=3% oxygen desaturation or with arousal / hour of sleep from type II polysomnography,Calculated - Summary metric of sleep disordered breathing events
58,rdi4pa,Apnea-Hypopnea Index: Apneas with >=4% oxygen desaturation or with arousal+ hypopneas with > 30% flow reduction and >=4% oxygen desaturation or with arousal / hour of sleep from type II polysomnography,Calculated - Summary metric of sleep disordered breathing events
59,rdi5pa,Apnea-Hypopnea Index: Apneas with >=5% oxygen desaturation or with arousal+ hypopneas with > 30% flow reduction and >=5% oxygen desaturation or with arousal / hour of sleep from type II polysomnography,Calculated - Summary metric of sleep disordered breathing events
60,rdi0ps,Apnea-Hypopnea Index (Supine): Apneas with no oxygen desaturation threshold used and with or without arousal+ hypopneas with > 30% flow reduction and with no oxygen desaturation used and with or without arousal / hour of sleep in supine position from type II polysomnography,Calculated - Summary metric of sleep disordered breathing events
61,rdi2ps,Apnea-Hypopnea Index (Supine): Apneas with >=2% oxygen desaturation and with or without arousal+ hypopneas with > 30% flow reduction and with >=2% oxygen desaturation and with or without arousal / hour of sleep in supine position from type II polysomnography,Calculated - Summary metric of sleep disordered breathing events
62,rdi3ps,Apnea-Hypopnea Index (Supine): Apneas with >=3% oxygen desaturation and with or without arousal+ hypopneas with > 30% flow reduction and >=3% oxygen desaturation and with or without arousal / hour of sleep in supine position from type II polysomnography,Calculated - Summary metric of sleep disordered breathing events
63,rdi4ps,Apnea-Hypopnea Index (Supine): Apneas with >=4% oxygen desaturation and with or without arousal+ hypopneas with > 30% flow reduction and >=4% oxygen desaturation and with or without arousal / hour of sleep in supine position from type II polysomnography,Calculated - Summary metric of sleep disordered breathing events
64,rdi5ps,Apnea-Hypopnea Index (Supine): Apneas with >=5% oxygen desaturation and with or without arousal+ hypopneas with > 30% flow reduction and >=5% oxygen desaturation and with or without arousal / hour of sleep in supine position from type II polysomnography,Calculated - Summary metric of sleep disordered breathing events
65,rdi0pns,Apnea-Hypopnea Index (Non-Supine): Apneas with no oxygen desaturation threshold used and with or without arousal+ hypopneas with > 30% flow reduction and with no oxygen desaturation used and with or without arousal / hour of sleep in non-supine position from type II polysomnography,Calculated - Summary metric of sleep disordered breathing events
66,rdi2pns,Apnea-Hypopnea Index (Non-Supine): Apneas with >=2% oxygen desaturation and with or without arousal+ hypopneas with > 30% flow reduction and with >=2% oxygen desaturation and with or without arousal / hour of sleep in non-supine position from type II polysomnography,Calculated - Summary metric of sleep disordered breathing events
67,rdi3pns,Apnea-Hypopnea Index (Non-Supine): Apneas with >=3% oxygen desaturation and with or without arousal+ hypopneas with > 30% flow reduction and >=3% oxygen desaturation and with or without arousal / hour of sleep in non-supine position from type II polysomnography,Calculated - Summary metric of sleep disordered breathing events
68,rdi4pns,Apnea-Hypopnea Index (Non-Supine): Apneas with >=4% oxygen desaturation and with or without arousal+ hypopneas with > 30% flow reduction and >=4% oxygen desaturation and with or without arousal / hour of sleep in non-supine position from type II polysomnography,Calculated - Summary metric of sleep disordered breathing events
69,rdi5pns,Apnea-Hypopnea Index (Non-Supine): Apneas with >=5% oxygen desaturation and with or without arousal+ hypopneas with > 30% flow reduction and >=5% oxygen desaturation and with or without arousal / hour of sleep in non-supine position from type II polysomnography,Calculated - Summary metric of sleep disordered breathing events
70,rdirem0p,Apnea-Hypopnea Index (REM): Apneas with no oxygen desaturation threshold used and with or without arousal+ hypopneas with > 30% flow reduction and with no oxygen desaturation threshold used and with or without arousal / hour of REM sleep from type II polysomnography,Calculated - Summary metric of sleep disordered breathing events
71,rdirem2p,Apnea-Hypopnea Index (REM): Apneas with >= 2% oxygen desaturation and with or without arousal+ hypopneas with > 30% flow reduction and with >= 2% oxygen desaturation and with or without arousal / hour of REM sleep from type II polysomnography,Calculated - Summary metric of sleep disordered breathing events
72,rdirem3p,Apnea-Hypopnea Index (REM): Apneas with >= 3% oxygen desaturation and with or without arousal+ hypopneas with > 30% flow reduction and with >= 3% oxygen desaturation and with or without arousal / hour of REM sleep from type II polysomnography,Calculated - Summary metric of sleep disordered breathing events
73,rdirem4p,Apnea-Hypopnea Index (REM): Apneas with >= 4% oxygen desaturation and with or without arousal+ hypopneas with > 30% flow reduction and with >= 4% oxygen desaturation and with or without arousal / hour of REM sleep from type II polysomnography,Calculated - Summary metric of sleep disordered breathing events
74,rdirem5p,Apnea-Hypopnea Index (REM): Apneas with >= 5% oxygen desaturation and with or without arousal+ hypopneas with > 30% flow reduction and with >= 5% oxygen desaturation and with or without arousal / hour of REM sleep from type II polysomnography,Calculated - Summary metric of sleep disordered breathing events
75,rdinr0p,Apnea-Hypopnea Index (NREM): Apneas with no oxygen desaturation threshold used and with or without arousal+ hypopneas with > 30% flow reduction and with no oxygen desaturation threshold used and with or without arousal / hour of NREM sleep from type II polysomnography,Calculated - Summary metric of sleep disordered breathing events
76,rdinr2p,Apnea-Hypopnea Index (NREM): Apneas with >= 2% oxygen desaturation and with or without arousal+ hypopneas with > 30% flow reduction and with >= 2% oxygen desaturation and with or without arousal / hour of NREM sleep from type II polysomnography,Calculated - Summary metric of sleep disordered breathing events
77,rdinr3p,Apnea-Hypopnea Index (NREM): Apneas with >= 3% oxygen desaturation and with or without arousal+ hypopneas with > 30% flow reduction and with >= 3% oxygen desaturation and with or without arousal / hour of NREM sleep from type II polysomnography,Calculated - Summary metric of sleep disordered breathing events
78,rdinr4p,Apnea-Hypopnea Index (NREM): Apneas with >= 4% oxygen desaturation and with or without arousal+ hypopneas with > 30% flow reduction and with >= 4% oxygen desaturation and with or without arousal / hour of NREM sleep from type II polysomnography,Calculated - Summary metric of sleep disordered breathing events
79,rdinr5p,Apnea-Hypopnea Index (NREM): Apneas with >= 5% oxygen desaturation and with or without arousal+ hypopneas with > 30% flow reduction and with >= 5% oxygen desaturation and with or without arousal / hour of NREM sleep from type II polysomnography,Calculated - Summary metric of sleep disordered breathing events
80,oai0p,Obstructive Apnea Index: (Obstructive apneas with no oxygen desaturation threshold used and with or without arousal) / hour of sleep from type II polysomnography,Calculated - Summary metric of sleep disordered breathing events
81,oai4p,Obstructive Apnea Index: (Obstructive apneas with >= 4% oxygen desaturation and with or without arousal) / hour of sleep from type II polysomnography,Calculated - Summary metric of sleep disordered breathing events
82,oai4pa,Obstructive Apnea Index: (Obstructive apneas with >= 4% oxygen desaturation or with arousal) / hour of sleep from type II polysomnography,Calculated - Summary metric of sleep disordered breathing events
83,cai0p,Central Apnea Index: (Central apneas with no oxygen desaturation threshold used and with or without arousal) / hour of sleep from type II polysomnography,Calculated - Summary metric of sleep disordered breathing events
84,cai4p,Central Apnea Index: (Central apneas with >= 4% oxygen desaturation and with or without arousal) / hour of sleep from type II polysomnography,Calculated - Summary metric of sleep disordered breathing events
85,cai4pa,Central Apnea Index: (Central apneas with >= 4% oxygen desaturation or with arousal) / hour of sleep from type II polysomnography,Calculated - Summary metric of sleep disordered breathing events
86,pctstapn,Percentage of total sleep duration with apneas with no oxygen desaturation threshold used and with or without arousal from type II polysomnography,
87,pctsthyp,Percentage of total sleep duration with hypopneas with > 30% flow reduction and with no oxygen desaturation threhold and with or without arousal from type II polysomnography,
88,pcstahar,Percentage of total sleep duration: (Apneas with no oxygen desaturation threshold used and with or without arousal + hypopneas with > 30% flow reduction and no oxygen desaturation and only with arousal) from type II polysomnography,
89,pcstah3d,Percentage of total sleep duration: (Apneas with no oxygen desaturation threshold used and with or without arousal + hypopneas with > 30% flow reduction and > 3% oxygen desaturation and with or without arousal) from type II polysomnography,
90,pcstahda,Percentage of total sleep duration: (Apneas with no oxygen desaturation threshold used and with or without arousal + hypopneas with > 30% flow reduction and > 3% oxygen desaturation or with arousal) from type II polysomnography,
91,savbrbh,Average heart rate during REM sleep in supine position from type II polysomnography,
92,smnbrbh,Minimum heart rate during REM sleep in supine position from type II polysomnography,
93,smxbrbh,Maximum heart rate during REM sleep in supine position from type II polysomnography,
94,savbroh,Average heart rate during REM sleep in non-supine position from type II polysomnography,
95,smnbroh,Minimum heart rate during REM sleep in non-supine position from type II polysomnography,
96,smxbroh,Maximum heart rate during REM sleep in non-supine position from type II polysomnography,
97,savbnbh,Average heart rate during NREM sleep in supine position from type II polysomnography,
98,smnbnbh,Minimum heart rate during NREM sleep in supine position from type II polysomnography,
99,smxbnbh,Maximum heart rate during NREM sleep in supine position from type II polysomnography,
100,savbnoh,Average heart rate during NREM sleep in non-supine position from type II polysomnography,
101,smnbnoh,Minimum heart rate during NREM sleep in non-supine position from type II polysomnography,
102,smxbnoh,Maximum heart rate during NREM sleep in non-supine position from type II polysomnography,
103,aavbrbh,Average heart rate with arousal during REM sleep in supine position from type II polysomnography,
104,amnbrbh,Minimum heart rate with arousal during REM sleep in supine position from type II polysomnography,
105,amxbrbh,Maximum heart rate with arousal during REM sleep in supine position from type II polysomnography,
106,aavbroh,Average heart rate with arousal during REM sleep in non-supine position from type II polysomnography,
107,amnbroh,Minimum heart rate with arousal during REM sleep in non-supine position from type II polysomnography,
108,amxbroh,Maximum heart rate with arousal during REM sleep in non-supine position from type II polysomnography,
109,aavbnbh,Average heart rate with arousal during NREM sleep in supine position from type II polysomnography,
110,amnbnbh,Minimum heart rate with arousal during NREM sleep in supine position from type II polysomnography,
111,amxbnbh,Maximum heart rate with arousal during NREM sleep in supine position from type II polysomnography,
112,aavbnoh,Average heart rate with arousal during NREM sleep in non-supine position from type II polysomnography,
113,amnbnoh,Minimum heart rate with arousal during NREM sleep in non-supine position from type II polysomnography,
114,amxbnoh,Maximum heart rate with arousal during NREM sleep in non-supine position from type II polysomnography,
115,havbrbh,Average heart rate associated with apneas with >=3% oxygen desaturation and with or without arousal+ hypopneas with > 30% flow reduction and >=3% oxygen desaturation and with or without arousal during REM sleep in supine position from type II polysomnography,
116,hmnbrbh,Minimum heart rate associated with apneas with >=3% oxygen desaturation and with or without arousal+ hypopneas with > 30% flow reduction and >=3% oxygen desaturation and with or without arousal during REM sleep in supine position from type II polysomnography,
117,hmxbrbh,Maximum heart rate associated with apneas with >=3% oxygen desaturation and with or without arousal+ hypopneas with > 30% flow reduction and >=3% oxygen desaturation and with or without arousal during REM sleep in supine position from type II polysomnography,
118,havbroh,Average heart rate associated with apneas with >=3% oxygen desaturation and with or without arousal+ hypopneas with > 30% flow reduction and >=3% oxygen desaturation and with or without arousal during REM sleep in non-supine position from type II polysomnography,
119,hmnbroh,Minimum heart rate associated with apneas with >=3% oxygen desaturation and with or without arousal+ hypopneas with > 30% flow reduction and >=3% oxygen desaturation and with or without arousal during REM sleep in non-supine position from type II polysomnography,
120,hmxbroh,Maximum heart rate associated with apneas with >=3% oxygen desaturation and with or without arousal+ hypopneas with > 30% flow reduction and >=3% oxygen desaturation and with or without arousal during REM sleep in non-supine position from type II polysomnography,
121,havbnbh,Average heart rate associated with apneas with >=3% oxygen desaturation and with or without arousal+ hypopneas with > 30% flow reduction and >=3% oxygen desaturation and with or without arousal during NREM sleep in supine position from type II polysomnography,
122,hmnbnbh,Minimum heart rate associated with apneas with >=3% oxygen desaturation and with or without arousal+ hypopneas with > 30% flow reduction and >=3% oxygen desaturation and with or without arousal during NREM sleep in supine position from type II polysomnography,
123,hmxbnbh,Maximum heart rate associated with apneas with >=3% oxygen desaturation and with or without arousal+ hypopneas with > 30% flow reduction and >=3% oxygen desaturation and with or without arousal during NREM sleep in supine position from type II polysomnography,
124,havbnoh,Average heart rate associated with apneas with >=3% oxygen desaturation and with or without arousal+ hypopneas with > 30% flow reduction and >=3% oxygen desaturation and with or without arousal during NREM sleep in non-supine position from type II polysomnography,
125,hmnbnoh,Minimum heart rate associated with apneas with >=3% oxygen desaturation and with or without arousal+ hypopneas with > 30% flow reduction and >=3% oxygen desaturation and with or without arousal during NREM sleep in non-supine position from type II polysomnography,
126,hmxbnoh,Maximum heart rate associated with apneas with >=3% oxygen desaturation and with or without arousal+ hypopneas with > 30% flow reduction and >=3% oxygen desaturation and with or without arousal during NREM sleep in non-supine position from type II polysomnography,
127,davbrbh,Average heart rate with oxygen desaturation >3%  during REM sleep in supine position from type II polysomnography,
128,dmnbrbh,Minimum heart rate with oxygen desaturation >3%  during REM sleep in supine position  from type II polysomnography,
129,dmxbrbh,Maximum heart rate with oxygen desaturation >3%  during REM sleep in supine position  from type II polysomnography,
130,davbroh,Average heart rate with oxygen desaturation >3%  during REM sleep in non-supine position from type II polysomnography,
131,dmnbroh,Minimum heart rate with oxygen desaturation >3%  during REM sleep in non-supine position from type II polysomnography,
132,dmxbroh,Maximum heart rate with oxygen desaturation >3%  during REM sleep in non-supine position  from type II polysomnography,
133,davbnbh,Average heart rate with oxygen desaturation >3%  during NREM sleep in supine position from type II polysomnography,
134,dmnbnbh,Minimum heart rate with oxygen desaturation >3%  during NREM sleep in supine position from type II polysomnography,
135,dmxbnbh,Maximum heart rate with oxygen desaturation >3%  during NREM sleep in supine position  from type II polysomnography,
136,davbnoh,Average heart rate with oxygen desaturation >3%  during NREM sleep in non-supine position from type II polysomnography,
137,dmnbnoh,Minimum heart rate with oxygen desaturation >3%  during NREM sleep in non-supine position from type II polysomnography,
138,dmxbnoh,Maximum heart rate with oxygen desaturation >3%  during NREM sleep in non-supine position  from type II polysomnography,
139,ndes2ph,Total number of oxygen saturation with desat >= 2% from type II polysomnography,
140,ndes3ph,Total number of oxygen saturation with desat >= 3% from type II polysomnography,
141,ndes4ph,Total number of oxygen saturation with desat >= 4% from type II polysomnography,
142,ndes5ph,Total number of oxygen saturation with desat >= 5% from type II polysomnography,
143,pctsa95h,Percent total sleep duration with below 95% oxygen saturation from type II polysomnography,
144,pctsa90h,Percent total sleep duration with below 90% oxygen saturation from type II polysomnography,
145,pctsa85h,Percent total sleep duration with below 85% oxygen saturation from type II polysomnography,
146,pctsa80h,Percent total sleep duration with below 80% oxygen saturation from type II polysomnography,
147,pctsa75h,Percent total sleep duration with below 75% oxygen saturation from type II polysomnography,
148,pctsa70h,Percent total sleep duration with below 70% oxygen saturation from type II polysomnography,
149,avsao2rh,Average oxygen saturation during REM sleep from type II polysomnography,The mean of all oxygen saturation (SaO2) values in epochs scored as stage REM (Rapid eye movement sleep).
150,avsao2nh,Average oxygen saturation during NREM sleep from type II polysomnography,"The mean of all oxygen saturation (SaO2) values in epochs scored as stages other than rapid eye movement sleep (REM) (i.e., 1,2,3/4)."
151,mnsao2rh,Minimum oxygen saturation during REM sleep from type II polysomnography,
152,mnsao2nh,Minimum oxygen saturation during NREM sleep from type II polysomnography,
153,mxsao2rh,Maximum oxygen saturation during REM sleep from type II polysomnography,
154,mxsao2nh,Maximum oxygen saturation during NREM sleep from type II polysomnography,
155,remepbp,Total duration of sleep in REM sleep in supine position from type II polysomnography,
156,remepop,Total duration of sleep in REM sleep in non-supine position from type II polysomnography,
157,nremepbp,Total duration of sleep in NREM sleep in supine position from type II polysomnography,
158,nremepop,Total duration of sleep in NREM sleep in non-supine position from type II polysomnography,
159,stloutp,Clock time when the participant is in bed or lights are out from type II polysomnography,"Conventionally, this variable would be called the start of time in bed (TIB). <br><br>In Visit 1 this variable represents the number of epochs from recording start."
160,stonsetp,Sleep onset time from type II polysomnography,Conventionally this variable would be called the start of total sleep time (TST) (i.e. total time spent in stage 1 or greater). <br><br>In Visit 1 this variable represents the number of epochs from recording start.
161,slplatp,Sleep Latency: the interval between lights-out/in-bed time and sleep onset time from type II polysomnography,
162,remlaip,REM Sleep Latency: the interval between the first sleep epoch and REM sleep including wake from type II polysomnography,
163,remlaiip,REM Sleep Latency: the interval between the first sleep epoch and REM sleep excluding wake from type II polysomnography,
164,timebedp,Total In-bed Period: the interval between lights out/in-bed time and lights off/out-bed time from type II polysomnography,Calculated. Conventionally this variable would be called time in bed (TIB).
165,slpprdp,Total Sleep Duration: the interval between sleep onset and sleep offset while the participant is asleep from type II polysomnography,Conventionally this variable would be called total sleep time (TST)(i.e. total time spent in stage 1 or greater).
166,slpeffp,"Sleep Efficiency: the ratio of sleep duration (i.e., total sleep time) to in-bed period (i.e., time in bed) from type II polysomnography","Sleep duration is the interval between sleep onset time and lights on/out-bed time while asleep (i.e. total sleep time, TST), while in-bed period is the interval between lights off/in-bed time and lights on/out-bed time (i.e. time in bed, TIB).Percentage of time in bed that was spent sleeping, or the ratio of total sleep time to total time in bed, expressed as a percentage."
167,arrembp,Total number of arousals during REM sleep in supine position from type II polysomnography,
168,arremop,Total number of arousals during REM sleep in non-supine position from type II polysomnography,
169,arnrembp,Total number of arousals during NREM sleep in supine position from type II polysomnography,
170,arnremop,Total number of arousals during NREM sleep in non-supine position from type II polysomnography,
171,ahrembp,"Arousal Index (REM, Supine): Arousals per hour of REM sleep in supine position from type II polysomnography",
172,ahremop,"Arousal Index (REM, Non-Supine): Arousals per hour of REM sleep in non-supine position from type II polysomnography",
173,ahnrembp,"Arousal Index (NREM, Supine): Arousals per hour of NREM sleep in supine position from type II polysomnography",
174,ahnremop,"Arousal Index (NREM, Non-Supine): Arousals per hour of NREM sleep in non-supine position from type II polysomnography",
175,stg2t1p,Total number of shift (sleep stages shift) from stage 2 to stage 1 sleep from type II polysomnography,
176,stg34t2p,Total number of shift (sleep stages shift) from stage 3/4 to stage 1/2 sleep from type II polysomnography,
177,remt1p,Total number of shift (sleep stages shift) from REM sleep to stage 1 sleep from type II polysomnography,
178,remt2p,Total number of shift (sleep stages shift) from REM sleep to stage 2 sleep from type II polysomnography,
